Internal ID,Product Code,Suggested Name,Website Category,Sub-brand,Description,Short Description,Certification,,
2326,COEX2PG,Commander Contempo 2kg CO2 - Polished Gold,Fire Extinguishers,Contempo® ,"• 13A Rating
• 5 Year Warranty
• Corrosion-resistant finish
• Full Range of spare parts
• Plastic base skirt for protection
","This combines fire safety with the most exquisite hand-finished architectural finishes.
This means you don't have to spoil your carefully crafted interior design with mandatory fire equipment. This is Contempo by Commander.
Synonymous with the ultimate in luxury, polished gold extinguishers don't just blend into their surroundings - they look part of it. 
Not to be confused with some retro-fit wrap on a standard extinguisher, these are electro plated to give a stunning mirror finish.
And with matching polished gold tubular stands and ID Signs, this range is truly Elegance in Fire Defence.",,313,
2304,FSEX3SS,Commander Contempo 3ltr AFF Foam - Stainless Steel,Fire Extinguishers,Contempo® ,"• Fully CE Marked
• Superb polished cylinder
• Fire rating certified by Lloyds Register
• Stainless Steel cylinder
• Plastic protection base
• Full range of spare parts available
",Polished stainless steel cylinders and plastic protection bases make these extinguishers ideal for prestigious applications.,,304,
2305,WSEX3SS,Commander Contempo 3ltr Water - Stainless Steel,Fire Extinguishers,Contempo® ,"• Fully CE Marked
• Superb polished cylinder
• Fire rating certified by Lloyds Register
• Stainless steel cylinder
• Plastic protection base
• Full range of spare parts available
",High gloss stainless steel cylinders for use where appearance is important. The cylinder is resistant to corrosion and supplied with a plastic protection base,,557,
725,COEX5P,Commander Contempo 5kg CO2 - Polished,Fire Extinguishers,Contempo® ,"• Provides fire protection
• Reduces noise transfer
• Pre-cut cross shape ensures simple installation
• Low smoke emission
• Maintenance free
• Remains malleable
• Available for single and double sockets
• Tested in accordance with BS 476:Part 20:1987 and EN 1366-3, Acoustic Intumescent Putty Pads provide up to 2 hours fire protection.
","Polished alloy 5kg CO2 Extinguisher.

Highly-polished alloy cylinders make these extinguishers the choice for areas where appearance is a consideration. Now with stainless steel handles and brass valve bodies, they are almost completely corrosion-resistant in even the harshest environments.

Supplied with hose & horn assembly and wall-mounting bracket.",,116,
2322,DPEX6AC,Commander Contempo 6kg ABC Dry Powder - Antique Copper,Fire Extinguishers,Contempo® ,"• 34A 183B Rating
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Not a common association, but we have never believed the two should be mutually exclusive… This combines fire safety with the most exquisite hand finish. Mandatory fire equipment can now compliment the very finest of interior and even be a feature. This is Contempo by Commander. Why settle for less? Truly an industry-first, these cans have been hand-finished. Each one unique in it's beauty.

Perfect for modern bars and restaurants, luxury hotels, contemporary offices and much more, this is fire safety equipment you actually want on show! With matching brushed antique copper tubular stands and ID signs, this range is truly Elegance in Fire Defence.",,582,
2327,DPEX6PG,Commander Contempo 6kg ABC Dry Powder - Polished Gold,Fire Extinguishers,Contempo® ,"• 13A 113B rating
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Not a common association, but we have never believed the two should be mutually exclusive… This combines fire safety with the most exquisite hand finish. Mandatory fire equipment can now compliment the very finest of interior and even be a feature. This is Contempo by Commander. Why settle for less? Truly an industry-first, these cans have been hand-finished. Each one unique in it's beauty.

Perfect for modern bars and restaurants, luxury hotels, contemporary offices and much more, this is fire safety equipment you actually want on show! With matching polished gold tubular stands and ID signs, this range is truly Elegance in Fire Defence.",,922,
1758,DPEX6SS,Commander Contempo 6kg ABC Dry Powder - Stainless Steel,Fire Extinguishers,Contempo® ,"• 13A 113B rating
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Not a common association, but we have never believed the two should be mutually exclusive… This combines fire safety with the most exquisite hand finish. Mandatory fire equipment can now compliment the very finest of interior and even be a feature. This is Contempo by Commander. Why settle for less? Truly an industry-first, these cans have been hand-finished. Each one unique in it's beauty.

Perfect for modern bars and restaurants, luxury hotels, contemporary offices and much more, this is fire safety equipment you actually want on show! With matching stainless steel tubular stands and ID signs, this range is truly Elegance in Fire Defence.",,137,
2319,FSEX6AC,Commander Contempo 6ltr AFF Foam - Antique Copper,Fire Extinguishers,Contempo® ,"• 13A 113B rating
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Not a common association, but we have never believed the two should be mutually exclusive… This combines fire safety with the most exquisite hand finish. Mandatory fire equipment can now compliment the very finest of interior and even be a feature. This is Contempo by Commander. Why settle for less? Truly an industry-first, these cans have been hand-finished. Each one unique in it's beauty.

Perfect for modern bars and restaurants, luxury hotels, contemporary offices and much more, this is fire safety equipment you actually want on show! With matching brushed antique copper tubular stands and ID signs, this range is truly Elegance in Fire Defence.",,159,
2324,FSEX6PG,Commander Contempo 6ltr AFF Foam - Polished Gold,Fire Extinguishers,Contempo® ,"• 13A 113B rating
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Not a common association, but we have never believed the two should be mutually exclusive… This combines fire safety with the most exquisite hand finish. Mandatory fire equipment can now compliment the very finest of interior and even be a feature. This is Contempo by Commander. Why settle for less? Truly an industry-first, these cans have been hand-finished. Each one unique in it's beauty.

Perfect for modern bars and restaurants, luxury hotels, contemporary offices and much more, this is fire safety equipment you actually want on show! With matching polished gold tubular stands and ID signs, this range is truly Elegance in Fire Defence.",,805,
1281,FSEX6SS,Commander Contempo 6ltr AFF Foam - Stainless Steel,Fire Extinguishers,Contempo® ,"• 13A 113B rating
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Not a common association, but we have never believed the two should be mutually exclusive… This combines fire safety with the most exquisite hand finish. Mandatory fire equipment can now compliment the very finest of interior and even be a feature. This is Contempo by Commander. Why settle for less? Truly an industry-first, these cans have been hand-finished. Each one unique in it's beauty.

Perfect for modern bars and restaurants, luxury hotels, contemporary offices and much more, this is fire safety equipment you actually want on show! With matching stainless steel tubular stands and ID signs, this range is truly Elegance in Fire Defence.",,31,
1760,WSEX6ASS,Commander Contempo 6ltr Compact 34 - Stainless Steel,Fire Extinguishers,Contempo® ,"• 34A rating
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","High-gloss polished stainless steel cylinders for use where appearance is important. This range is resistant to corrosion and supplied with a plastic protection base. All Commander stainless steel and polished units have stainless steel handles, making them virtually 100% corrosion resistant.",,210,
2320,FSEX6EMCAC,Commander Contempo 6ltr MultiCHEM - Antique Copper,Fire Extinguishers,Contempo® ,"• The 34A rating gives the industry’s highest available A rating for a 6 litre extinguisher. This means that even in the hands of an untrained and incompetent person the MultiCHEM can tackle a sizeable fire
• A 233B rating gives unsurpassed ability to tackle flammable liquid fires involving large amounts of fuel and a big surface area
• And then to round it all off, the 75F rating enables this unit to be used on deep fat fryer fires up to 75 litres capacity
• Full range of spare parts
• 5-year warranty
• Plastic base skirt for protection
• Polyethylene internal lining
","Contmpo extinguishers are perfect for areas where appearance is important, and the Antique Copper provides just that - a luxury finish.
The MultiCHEM from CommanderEDGE - a ground-breaking and innovative fire extinguisher.
Multi-class fire extinguishers are no newcomers to the market, but the MultiCHEM offers a new solution - a high-performance ABF rated extinguisher.",,866,
